"ID","City","Group_size","Age","MPI#Mean","TOM","BUMO","BUMO_Previous","MostFavourite","Gender","MPI#detail","Age#group","Age#Group#2","MPI","MPI#2","Occupation","Occupation#group","Year","MPI_Mean_Use","MPI#detail_imp","Age_imp"
348226,"Cần Thơ",3,29,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
358485,"Hà Nội",3,25,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
360729,"Cần Thơ",3,25,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
360737,"Cần Thơ",3,24,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
361753,"Cần Thơ",3,26,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
363279,"Cần Thơ",3,33,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
366456,"Cần Thơ",3,33,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
367085,"Cần Thơ",3,34,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
367455,"Cần Thơ",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
370956,"Hồ Chí Minh",3,29,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
375849,"Đà Nẵng",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
376082,"Cần Thơ",3,37,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
377074,"Cần Thơ",3,29,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
